	Value	Asf_L	Asf_H	EoMToOdrB_L	EoMToOdrB_H	EoMToOdrM_L	EoMToOdrM_H	EoMToOdrV_L	EoMToOdrV_H	Owm_L	Owm_H	Prdt_L	Prdt_H	Prit_L	Prit_H	PrwN_L	PrwN_H	POw_L	POw_H	Poces_L	Poces_H	RrHnMT_L	RrHnMT_H	RdHwROom_L	RdHwROom_H	RdROnH_L	RdROnH_H	SoRstprp_L	SoRstprp_H	SoRstRpp_L	SoRstRpp_H	SoRstdpp_L	SoRstdpp_H	SoRstMpd_L	SoRstMpd_H	TtrRss_L	TtrRss_H	TadB_L	TadB_H	TadM_L	TadM_H	TadV_L	TadV_H	TsfBH_L	TsfBH_H	TsfBRO_L	TsfBRO_H	TsfMHr_L	TsfMHr_H	TsfMROr_L	TsfMROr_H	TsrHrtROnH_L	TsrHrtROnH_H	Tsfi_L	Tsfi_H
Overdose rate synth baseline	0.00722299	0.00765913	0.00551997	0.00717982	0.00692436	0.00737435	0.00707245	0.0084569	0.00617922	0.00610736	0.00841157	0.00711367	0.00603614	0.0068443	0.00652937	0.00626646	0.0054222	0.00612596	0.00607612	0.00621781	0.00500003	0.00739351	0.00705566	0.00601455	0.00649235	0.00635914	0.00580924	0.0060245	0.00911147	0.00556528	0.00770693	0.00859467	0.00625801	0.00560944	0.0064742	0.00579313	0.00593168	0.00699158	0.00644369	0.00833091	0.00778341	0.00646936	0.00712496	0.00706143	0.00616273	0.00647085	0.00637121	0.00711669	0.0063769	0.00627531	0.00868931	0.00547885	0.00630219	0.00695093	0.00677606
Perceived risk strength initiating heroin with Rx use	0.92771	0.920424	0.960506	0.936909	0.905017	0.579943	0.876702	0.876117	0.841456	0.948823	0.745885	0.930133	0.925552	0.903948	0.939154	0.865465	0.925921	0.934644	0.945096	0.896889	0.81967	0.951329	0.948092	0.937004	0.924194	0.921509	0.915231	0.92771	0.778067	0.91718	0.966798	0.912982	0.857305	0.856628	0.921786	0.905574	0.908251	0.922248	0.887545	0.898055	0.907066	0.917296	0.671298	1.02784	0.869857	0.901134	0.893584	0.946563	0.92234	0.885088	0.906107	0.923888	0.928232	0.92771	0.886454
Perceived risk strength initiating NDHU no Rx	0.271356	0.281825	0.270544	0.278361	0.271648	0.180488	0.248992	0.229416	0.252147	0.296445	0.214723	0.275753	0.238967	0.267046	0.268815	0.261922	0.254449	0.247521	0.27614	0.266042	0.308491	0.274259	0.271596	0.313175	0.26976	0.271278	0.260431	0.246369	0.542379	0.260598	0.299599	0.234071	0.28827	0.254402	0.27053	0.248127	0.244949	0.283837	0.266194	0.191387	0.268822	0.265259	0.163295	0.275173	0.246152	0.265028	0.255821	0.281085	0.268999	0.271609	0.251505	0.264777	0.269374	0.271356	0.259591
Perceived risk strength initiating Rx misuse diverted	0.555569	0.538711	0.556438	0.521226	0.567118	0.706139	0.587049	0.524427	0.612398	0.62256	0.576456	0.543261	0.548132	0.571979	0.527624	0.574805	0.607895	0.550228	0.578447	0.542872	0.68839	0.606821	0.542319	0.649895	0.55433	0.565532	0.562311	0.555569	0.890659	0.55684	0.544223	0.592096	0.547176	0.561324	0.58017	0.570429	0.565047	0.577967	0.551176	0.539317	0.58536	0.547357	0.809102	0.57514	0.575549	0.539809	0.554619	0.524275	0.455061	0.546392	0.570366	0.553882	0.555463	0.568389	0.559541
Perceived risk strength initiating Rx misuse own Rx	0.565856	0.582081	0.596927	0.567806	0.591448	0.674705	0.651273	0.58138	0.627086	0.663172	0.569016	0.583715	0.515801	0.583591	0.684333	0.574146	0.671282	0.706311	0.558303	0.584734	0.580953	0.585525	0.567012	0.601968	0.581877	0.612163	0.593916	0.565856	0.763987	0.609187	0.588069	0.540287	0.589021	0.565856	0.602911	0.630877	0.564251	0.556789	0.582862	0.641099	0.599218	0.569289	0.658933	0.570574	0.597045	0.595749	0.592143	0.571313	0.607854	0.601133	0.628597	0.5373	0.609486	0.608859	0.588239
Perceived risk strength net quit heroin with Rx OUD	1e-06	1.04606e-06	0.0363463	1e-06	1e-06	1e-06	3.35987e-05	1.50436e-06	1e-06	1e-06	0.0021043	1e-06	0.302053	1e-06	1e-06	1e-06	1e-06	0.488939	0.0645475	1e-06	1e-06	1e-06	1e-06	0.0392851	1e-06	0.185664	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.00192501	1e-06	1e-06	1.28312e-06	1e-06	0.116408	1e-06	1e-06	1e-06	0.00152165	1e-06	1e-06	1e-06	1e-06	0.0667348	1e-06
Perceived risk strength net quit NDHU	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.02626e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	2.00431e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.39122e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.01094e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
Perceived risk strength net quit NDHU with Rx	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.09454e-06	1e-06	1e-06	1e-06	1e-06	1.14856e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
Perceived risk strength net quit Rx misuse	0.559232	0.536182	0.558127	0.52206	0.536426	0.350474	0.334843	0.439202	0.552911	0.328457	0.64711	0.501394	0.490261	0.532126	0.538015	0.538642	0.493926	0.536018	0.450662	0.54053	0.387712	0.528274	0.54494	0.544373	0.542411	0.519513	0.429744	0.559232	0.333097	0.541216	0.490155	0.372976	0.460102	0.552949	0.505111	0.465754	0.501826	0.527822	0.572273	0.535478	0.520487	0.505528	0.397365	0.513554	0.494158	0.535678	0.526754	0.514894	0.551707	0.525321	0.360602	0.49943	0.492074	0.459662	0.53552
Relapse rate HUD	0.583015	0.581391	0.579144	0.584742	0.576609	0.543636	0.586482	0.578488	0.570723	0.575188	0.561549	0.580488	0.596964	0.582085	0.594944	0.581995	0.621574	0.594713	0.56338	0.581183	0.55902	0.546838	0.616735	0.585788	0.580912	0.625243	0.589115	0.583015	0.566459	0.577915	0.5909	0.576446	0.57453	0.583015	0.580008	0.583887	0.579713	0.584931	0.574073	0.565996	0.590749	0.583249	0.541044	0.579314	0.58214	0.585533	0.572401	0.584319	0.568623	0.582295	0.57709	0.583015	0.597733	0.598409	0.473451
Relapse rate Rx OUD relative to HUD	0.137539	0.136347	0.14443	0.136367	0.138482	0.304556	0.137102	0.139588	0.139219	0.14027	0.148519	0.136588	0.123436	0.136797	0.154401	0.136573	0.129413	0.127392	0.134407	0.136657	0.253592	0.110034	0.162167	0.128821	0.138742	0.120771	0.132835	0.137539	0.291632	0.139385	0.135875	0.140818	0.140292	0.120019	0.136609	0.135686	0.137822	0.138635	0.13745	0.141943	0.132412	0.136892	0.235114	0.139538	0.131233	0.134218	0.140175	0.136596	0.135479	0.135829	0.20775	0.125909	0.129686	0.137547	0.160679
Remission rate Rx OUD relative to HUD	1.0	1.0	1.0	1.0	1.0	1.42316	1.00329	1.01185	1.0	1.0	1.00403	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.3014	1.0002	1.0	1.00576	1.0	1.0	1.00001	1.0	1.42172	1.0	1.00011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.20917	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.19314	1.0	1.0	1.0	1.0
Rx availability strength developing Rx OUD	1.21521	1.22062	1.43809	1.21116	1.2609	1.54355	1.33188	1.29019	1.3237	1.42237	1.2482	1.22488	1.00166	1.27742	1.1305	1.25127	1.15367	1.20952	1.2778	1.21195	1.50925	1.21128	1.23164	0.886677	1.26653	1.18899	1.33978	1.21521	1.94603	1.28259	1.25961	1.23606	1.35931	1.21521	1.16942	1.27082	1.23809	1.24142	1.22149	1.25584	1.21715	1.25237	1.5117	1.23805	1.33239	1.23853	1.25412	1.2275	1.25262	1.27405	1.38259	1.07636	1.24889	1.24399	1.244
Rx availability strength initiating Rx misuse	0.388347	0.343224	0.386776	0.299255	0.380046	0.742986	0.349086	1e-06	0.468319	0.235187	0.512755	0.335277	0.311407	0.417069	0.297712	0.422253	0.42704	0.251589	0.399395	0.35611	0.621035	0.517042	0.362101	0.467046	0.361796	0.344333	0.335951	0.388806	1.12714	0.330159	0.315493	0.32369	0.328246	0.343759	0.351895	0.353164	0.39639	0.411411	0.382289	0.375656	0.312298	0.347629	0.860225	0.43345	0.343384	0.313346	0.363275	0.301691	0.0214088	0.33703	0.339547	0.367186	0.29383	0.36475	0.366853
Rx availability strength net quit Rx misuse	1.04433	1.06408	1.04844	1.01438	1.06993	0.935575	0.816488	0.932037	1.11448	0.91591	1.0967	1.01716	1.06376	1.01779	1.03183	1.03272	1.10212	0.934293	1.02783	1.0412	1.14935	0.97608	1.01228	1.16197	1.07248	1.06883	0.999636	1.04433	1.2013	1.04982	0.965103	0.936017	1.06459	1.03164	1.01679	1.04299	0.966768	1.02791	1.0573	1.15692	1.28509	0.995372	0.884551	0.971448	1.08551	1.06008	1.02603	0.989584	1.3201	1.05237	0.951485	1.19019	1.16245	1.04433	1.0888
Rx vs H availability strength developing HUD with Rx OUD	1.26477	1.25646	1.26477	1.2469	1.26649	1.1221	1.34829	1.31966	1.26128	1.16939	1.43604	1.24017	1.17865	1.25563	1.23935	1.2954	1.25419	0.808351	1.16739	1.25484	1.37286	1.23833	1.25678	1.05232	1.1703	1.24032	1.15982	1.43364	1.44639	1.13676	1.2631	1.20267	1.25123	1.33318	1.27139	1.28563	1.24197	1.25589	1.27201	1.33055	1.27725	1.24163	1.39224	1.23852	1.12677	1.25605	1.22976	1.23534	1.12374	1.26206	1.26805	1.08644	1.22071	1.2639	1.29756
Rx vs H availability strength initiating heroin with Rx OUD	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.000238674	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	6.59685e-05	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	4.1589e-06	1e-06	1e-06	1e-06	1.00023e-06	1e-06	1e-06	1.07025e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
Rx vs H availability strength initiating NDHU with Rx	0.18897	0.180427	0.0813222	0.186305	0.19509	0.266446	0.152786	0.234386	0.197297	0.318995	0.128449	0.184905	0.141118	0.188852	0.200385	0.196879	0.0432732	0.221206	0.0853187	0.19203	0.327332	0.199457	0.190892	0.134628	0.222995	0.193888	0.204122	0.245432	0.238699	0.236256	0.191318	0.21121	0.14607	0.229417	0.190444	0.219153	0.182193	0.188161	0.182691	0.332951	0.191981	0.198307	0.297483	0.187869	0.218895	0.186965	0.175661	0.200013	0.1864	0.191805	0.263015	0.13518	0.148142	0.147219	0.188143
Social influence strength developing HUD	1e-06	1e-06	1e-06	1.0009e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.13894e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	3.1726e-06	1e-06	0.00381418	1e-06	1e-06	1e-06	1e-06	0.00716583	1e-06	1e-06	0.000151693	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.000278711	1.0001e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.000598905	1e-06
Social influence strength developing Rx OUD	1e-06	1e-06	0.054138	1e-06	1e-06	1e-06	0.00886213	1e-06	1e-06	1e-06	1e-06	1e-06	0.0638474	1e-06	1e-06	1e-06	0.0231475	1e-06	1e-06	1e-06	1.72764e-05	1e-06	1e-06	0.090428	1e-06	1e-06	4.48416e-06	1e-06	0.00638682	1e-06	1e-06	1e-06	1e-06	0.0474983	0.000105739	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0547508	1e-06	0.00055823	1e-06	1e-06	1e-06	1e-06	1e-06	0.00419869	0.0453079	1e-06	1e-06	1e-06
Social influence strength initiating heroin with Rx OUD	1.95179	1.92268	1.98063	1.95267	1.93608	1.45765	1.90379	1.91938	1.78551	1.96623	1.82153	1.9327	1.95167	1.93276	1.95692	1.8694	1.95787	1.99935	1.95175	1.90465	1.85428	1.98762	1.97421	1.9707	1.93047	1.88406	1.90357	1.95179	1.52179	1.91875	1.97988	1.95535	1.85419	1.95453	1.94329	1.91536	1.93701	1.95553	1.89661	1.94053	1.94558	1.93339	1.81652	1.9872	1.83283	1.89309	1.91898	1.96135	1.92059	1.88433	1.94651	1.94101	1.92925	2.0	1.88915
Social influence strength initiating NDHU no Rx	0.120815	0.130036	0.120772	0.129044	0.122158	0.0390502	0.0816626	0.0736536	0.0845937	0.161751	0.0298737	0.127645	0.0957769	0.124507	0.125237	0.116347	0.0746633	0.113054	0.122216	0.113372	0.17183	0.123738	0.120405	0.16741	0.122734	1e-06	0.10999	0.120815	0.535054	0.102673	0.158195	0.101884	0.147036	0.12625	0.125917	0.0829252	0.0787606	0.138387	0.109964	0.0463685	0.125305	0.116185	0.0175195	0.132373	0.0820917	0.107046	0.0993423	0.140048	0.121685	0.126732	0.112358	0.14842	0.112631	0.115802	0.099806
Social influence strength initiating NDHU with Rx	1.78962	1.78887	1.95174	1.80166	1.73446	1.26093	1.77126	1.74673	1.70999	1.65854	1.67057	1.80867	1.78789	1.76543	1.78896	1.72446	1.92973	1.87295	1.92319	1.79125	1.30703	1.79772	1.82358	1.87281	1.75379	1.81297	1.76559	1.74214	1.50255	1.7414	1.84698	1.75266	1.73043	1.74886	1.78848	1.76218	1.77762	1.79151	1.77632	1.70906	1.76942	1.77388	1.31681	1.82501	1.72625	1.77214	1.75333	1.81002	1.76745	1.75063	1.73781	1.77263	1.84314	1.83597	1.73529
Social influence strength initiating Rx misuse	0.790187	0.829452	0.791075	0.875979	0.788545	0.583868	0.924924	0.885426	0.712177	0.974352	0.690396	0.851449	0.899738	0.792692	0.815664	0.760682	0.774045	0.905808	0.80386	0.8204	0.651232	0.713807	0.813279	0.840638	0.778611	0.858415	0.861014	0.790187	0.0101649	0.809688	0.888255	0.8895	0.875781	0.797984	0.842972	0.822715	0.816691	0.783324	0.788815	0.782297	0.787098	0.83534	0.407888	0.772128	0.853701	0.838768	0.81926	0.874648	0.943348	0.831788	0.845907	0.889265	0.849066	0.962272	0.804354
Time to stabilize remission	9.74248	9.71609	9.40573	9.72368	9.7355	9.36389	9.66801	9.73695	9.73402	9.74297	9.66231	9.7365	9.74248	9.73852	9.78984	9.72891	9.61345	9.82832	9.88046	9.71758	9.45085	9.83884	9.66637	9.90747	9.74222	9.77209	9.75697	9.74248	9.72472	9.76421	9.74726	9.74932	9.70849	9.72932	9.71358	9.73723	9.72213	9.73154	9.73531	9.86538	9.67385	9.71444	9.59348	9.71686	9.77403	9.73757	9.71285	9.73525	9.7255	9.73496	9.6014	9.69733	9.83584	9.6267	10.0667
Tx seeking rate Rx OUD no H total	0.493158	0.494233	0.511091	0.492884	0.493126	0.499487	0.492832	0.490429	0.497337	0.497643	0.48963	0.495551	0.503457	0.492978	0.502274	0.495535	0.518251	0.520199	0.494479	0.495357	0.487592	0.491586	0.491586	0.49506	0.495474	0.502889	0.49402	0.65	0.49003	0.501099	0.497521	0.509211	0.494225	0.65	0.486212	0.494333	0.495438	0.551775	0.446733	0.480972	0.4974	0.49337	0.482077	0.535442	0.468957	0.501941	0.481545	0.494595	0.516146	0.505834	0.483665	0.544741	0.484894	0.527173	0.516306
